1) predicted: 3, label: 2
4) predicted: 9, label: 4
7) predicted: 3, label: 9
8) predicted: 9, label: 5
9) predicted: 8, label: 9
12) predicted: 7, label: 9
15) predicted: 3, label: 5
16) predicted: 4, label: 9
17) predicted: 3, label: 7
19) predicted: 9, label: 4
20) predicted: 1, label: 9
23) predicted: 8, label: 5
24) predicted: 9, label: 4
27) predicted: 8, label: 4
33) predicted: 0, label: 4
35) predicted: 0, label: 2
38) predicted: 3, label: 2
41) predicted: 3, label: 7
42) predicted: 9, label: 4
43) predicted: 1, label: 2
45) predicted: 8, label: 5
46) predicted: 3, label: 1
47) predicted: 8, label: 2
48) predicted: 8, label: 4
52) predicted: 8, label: 5
53) predicted: 0, label: 5
54) predicted: 0, label: 6
56) predicted: 0, label: 4
59) predicted: 8, label: 5
60) predicted: 3, label: 7
62) predicted: 8, label: 9
65) predicted: 9, label: 4
66) predicted: 3, label: 6
68) predicted: 8, label: 3
72) predicted: 0, label: 2
73) predicted: 1, label: 9
77) predicted: 3, label: 2
78) predicted: 1, label: 9
79) predicted: 3, label: 7
80) predicted: 9, label: 7
82) predicted: 8, label: 2
85) predicted: 9, label: 4
92) predicted: 1, label: 9
95) predicted: 9, label: 4
97) predicted: 1, label: 7
102) predicted: 3, label: 5
103) predicted: 9, label: 4
104) predicted: 3, label: 9
106) predicted: 0, label: 2
109) predicted: 9, label: 4
111) predicted: 1, label: 7
114) predicted: 1, label: 7
115) predicted: 9, label: 4
116) predicted: 8, label: 4
119) predicted: 8, label: 2
120) predicted: 3, label: 5
121) predicted: 6, label: 4
124) predicted: 4, label: 7
127) predicted: 8, label: 5
129) predicted: 8, label: 5
132) predicted: 3, label: 5
139) predicted: 8, label: 4
147) predicted: 0, label: 2
149) predicted: 3, label: 2
151) predicted: 3, label: 9
152) predicted: 8, label: 5
153) predicted: 3, label: 5
155) predicted: 8, label: 5
159) predicted: 9, label: 4
160) predicted: 8, label: 4
161) predicted: 0, label: 6
162) predicted: 3, label: 5
165) predicted: 0, label: 5
166) predicted: 8, label: 4
167) predicted: 8, label: 5
169) predicted: 9, label: 4
170) predicted: 8, label: 4
171) predicted: 8, label: 7
172) predicted: 3, label: 2
173) predicted: 0, label: 3
174) predicted: 8, label: 2
175) predicted: 1, label: 7
182) predicted: 8, label: 5
186) predicted: 3, label: 2
187) predicted: 3, label: 5
191) predicted: 3, label: 1
198) predicted: 8, label: 4
199) predicted: 3, label: 2
201) predicted: 0, label: 6
207) predicted: 3, label: 5
208) predicted: 8, label: 2
209) predicted: 3, label: 9
211) predicted: 8, label: 5
212) predicted: 3, label: 9
